country_code,year,age,mxM,mxF,mxB
404,2012,82,0.13006684,0.10424481,0.11396306
404,2012,83,0.14176248,0.11466172,0.1248493
404,2012,84,0.1553148,0.12690793,0.13762436
404,2012,85,0.16796848,0.13868388,0.14982121
404,2012,86,0.18266203,0.1518732,0.16362119
404,2012,87,0.19727265,0.16457961,0.17696494
404,2012,88,0.21311844,0.17900143,0.19174953
404,2012,89,0.22910922,0.19311979,0.20638808
404,2012,90,0.24815701,0.21239367,0.22547309
404,2012,91,0.26402255,0.22455692,0.2388639
404,2012,92,0.28558847,0.24528429,0.25970345
404,2012,93,0.30602594,0.26428337,0.27902583
404,2012,94,0.32765603,0.28521174,0.30004275
404,2012,95,0.3501385,0.30820142,0.32268586
404,2012,96,0.37188025,0.32956284,0.34391871
404,2012,97,0.39310152,0.35045014,0.36454625
404,2012,98,0.4136976,0.37066833,0.38445937
404,2012,99,0.43976697,0.39785873,0.41078471
404,2012,100,0.49576195,0.45887305,0.46976083
404,2013,0,0.04100004,0.03345772,0.03725709
404,2013,1,0.00572751,0.00595606,0.00584096
404,2013,2,0.00375227,0.00367539,0.00371409
404,2013,3,0.00261362,0.00247109,0.0025428
404,2013,4,0.00192129,0.00176265,0.00184243
404,2013,5,0.0014519,0.00133189,0.0013922
404,2013,6,0.00124766,0.00111259,0.00118042
404,2013,7,0.00112022,0.00098533,0.00105304
404,2013,8,0.00101081,0.00088743,0.00094933
404,2013,9,0.00093385,0.00083311,0.00088362
404,2013,10,0.0009058,0.00080503,0.00085554
404,2013,11,0.00092531,0.00079819,0.00086188
404,2013,12,0.00096428,0.00083767,0.00090106
404,2013,13,0.00104286,0.00092449,0.00098369
404,2013,14,0.00118651,0.00104542,0.0011159
404,2013,15,0.00139288,0.00122187,0.00130721
404,2013,16,0.00163695,0.00139095,0.00151358
404,2013,17,0.00194905,0.00159206,0.00176986
404,2013,18,0.00228211,0.00180707,0.00204347
404,2013,19,0.00253824,0.00201112,0.00227322
404,2013,20,0.00280518,0.00222779,0.00251469
404,2013,21,0.00306522,0.0023893,0.002725
404,2013,22,0.0033277,0.00262078,0.00297181
404,2013,23,0.00357345,0.00285522,0.00321188
404,2013,24,0.00380961,0.00309841,0.00345173
404,2013,25,0.00406689,0.00335155,0.00370725
404,2013,26,0.00430567,0.00362991,0.00396631
404,2013,27,0.00458894,0.00391135,0.00424908
404,2013,28,0.0048758,0.00416033,0.00451746
404,2013,29,0.00517195,0.00445551,0.00481375
404,2013,30,0.00553392,0.00472219,0.00512875
404,2013,31,0.00582881,0.00494816,0.00538985
404,2013,32,0.00622631,0.00528554,0.0057579
404,2013,33,0.00662696,0.00558795,0.00611008
404,2013,34,0.00708767,0.00592509,0.00650967
404,2013,35,0.00757809,0.00633702,0.00696131
404,2013,36,0.00803911,0.00667007,0.00735894
404,2013,37,0.00855549,0.00701473,0.00778995
404,2013,38,0.00905536,0.00738068,0.00822297
404,2013,39,0.00955274,0.00772909,0.00864594
404,2013,40,0.01015095,0.00810087,0.00913113
404,2013,41,0.01058656,0.00844157,0.0095188
404,2013,42,0.01117529,0.00879415,0.00998897
404,2013,43,0.0117371,0.00918414,0.01046409
404,2013,44,0.01236745,0.00960003,0.01098618
404,2013,45,0.01310019,0.01010701,0.01160468
404,2013,46,0.01378337,0.01058733,0.01218464
404,2013,47,0.01455437,0.01115318,0.0128508
404,2013,48,0.01541027,0.01177792,0.01358812
404,2013,49,0.01627336,0.01242483,0.01433939
404,2013,50,0.01735289,0.01314455,0.01523412
404,2013,51,0.01811598,0.01373823,0.0159075
404,2013,52,0.01915317,0.01450096,0.0168009
404,2013,53,0.0200865,0.01518681,0.01760283
404,2013,54,0.02112292,0.01597015,0.01850405
404,2013,55,0.02228673,0.01682144,0.01950113
404,2013,56,0.02340916,0.01776287,0.0205225
404,2013,57,0.0247289,0.01877252,0.02167371
404,2013,58,0.02629271,0.01994139,0.02302304
404,2013,59,0.02800011,0.02120513,0.02448806
404,2013,60,0.03033308,0.02275625,0.0264006
404,2013,61,0.03211201,0.02428796,0.02803345
404,2013,62,0.03458016,0.02619659,0.03018969
404,2013,63,0.03689963,0.02818883,0.03250315
404,2013,64,0.03943511,0.0304223,0.03502205
404,2013,65,0.04218816,0.03295969,0.03761207
404,2013,66,0.04407609,0.03462686,0.03928223
404,2013,67,0.04632309,0.0366175,0.0412486
404,2013,68,0.04887962,0.03885204,0.043482
404,2013,69,0.05158444,0.0411784,0.04582613
404,2013,70,0.05527879,0.04426557,0.04901223
404,2013,71,0.05811581,0.04668181,0.0514198
404,2013,72,0.06249108,0.05034409,0.05518903
404,2013,73,0.06649071,0.05361792,0.05859328
404,2013,74,0.07099183,0.05736525,0.0625103
404,2013,75,0.0759421,0.06137345,0.06679871
404,2013,76,0.08111655,0.06535204,0.07119538
404,2013,77,0.08665159,0.06936054,0.07576387
404,2013,78,0.09363869,0.07473411,0.08173422
404,2013,79,0.10022023,0.07913046,0.08693473
404,2013,80,0.10874144,0.08577755,0.09427823
404,2013,81,0.11713105,0.09210028,0.10139595
404,2013,82,0.12950093,0.10354913,0.11320091
404,2013,83,0.1411625,0.11393038,0.12403765
404,2013,84,0.15466859,0.12613256,0.13670858
404,2013,85,0.16729973,0.13787373,0.14881586
404,2013,86,0.18196898,0.15104316,0.16263081
404,2013,87,0.19655865,0.16371534,0.17605186
404,2013,88,0.21237277,0.17809877,0.19087589
404,2013,89,0.22835569,0.19220047,0.2054974
